category,Negative,Neutral,Positive,total_count
Israel American Relations,14,87,20,121
Israel Iran/Lebanon Conflict,2,80,5,87
Israel Local Affairs,18,5,3,26
Israel Palestine Conflict,10,40,19,69
Israel Political Affairs,42,80,9,131
Legal Affairs,97,24,18,139
Non-American Israel Relations,30,10,16,56
Non-Governmental Opinion,26,11,9,46
